,coord_ra,coord_dec,g_psfMag,g_psfMagErr,i_psfMag,i_psfMagErr,r_psfMag,r_psfMagErr,detect_isIsolated,toros_id,star_id,toros_field_id,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_val,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,x,y,var_id,var_type,var_period,object_type,xcen,ycen,chip,master_mag,master_mag_er,master_flux,master_flux_er,master_sky
0,5.812358779620707,-72.13861033981782,21.149,0.0105578,24.1768,0.0464389,,,True,53298,53298,FIELD_0e.001,4689637544583084544,5.812406243020588,-72.13862631056976,19.20829,19.0393066,18.1250954,,0.7798462391757843,0.320315720395721,1.0670945115553596,0.921328342691576,-1.0235033634815258,0.6160750903865888,6323.27032818144,6283.0650188970385,--,--,0.0,Star,6322.953360012197,6283.027042385506,10,20.615552265382544,0.0104669231516122,17017.679828799643,193.39431529452696,73319.09871030677
1,5.775334291411437,-72.09252292957405,20.4718,0.00573776,,,,,True,43608,43608,FIELD_0e.001,4689638712812714880,5.775112674422651,-72.09250639567358,18.7508087,18.65547,17.7678146,,0.1694439408836365,0.226381343598895,5.075998171398745,0.5948944961759044,-2.111558879804892,0.3528016465781238,6656.895736953107,6369.866433996047,--,--,0.0,Star,6657.257904173004,6369.9244902573855,12,20.20510874406181,0.0078860695408359,24835.77731028905,212.6486742722097,83439.87248161212
2,5.813759001783296,-72.14343598573595,20.4347,0.0055751,24.5124,0.0541244,,,True,54111,54111,FIELD_0e.001,4689637544582588160,5.814242024627053,-72.14347976827932,18.1420784,17.9065571,17.0453339,,0.3157980354419972,0.1547277555966581,3.2812589490120887,0.3289785609241451,-1.619143879930076,0.2298416142053319,6288.109920858829,6278.601834332673,--,--,0.0,Star,6288.1484059714085,6278.918392484936,10,20.64707464334947,0.0107048876635393,16530.705824527708,192.1311718175033,41939.649267877496
3,6.406843508626008,-72.25226602410673,20.1229,0.00789747,19.2803,0.0021512,19.5418,0.00173809,True,163470,163470,FIELD_0e.001,4689575078544613248,6.406804935884903,-72.2522574749959,19.577055,19.9092,18.8635712,,0.0826537517887592,0.3459661103679664,4.5430713382040695,0.6223028766952019,-2.560236537784672,0.5448186872528835,5506.2239423474675,4959.492299489048,--,--,0.0,Star,5506.515581597018,4959.311595499885,9,28.741120339714637,13.751362836038416,9.564738894697763,142.8049232286267,3485.8919588402155
4,6.121857716544056,-72.25865280422968,20.428,0.00951091,19.545,0.0030064,19.9708,0.00272645,True,160666,160666,FIELD_0e.001,4689621709005035008,6.1218238096935345,-72.25864920699613,19.765873,20.01184,18.9243488,,0.403025520240958,0.3545146412010618,6.817283950408555,0.7203247110334198,-2.4982846518656454,0.6324047119080238,5458.063457636676,5589.570784038123,--,--,0.0,Star,5462.087449262684,5585.450383311321,10,26.967152605624513,2.6864466827484272,49.00723638405402,142.94295574047476,6767.235527567116
5,6.281685845796622,-72.63518745001195,20.0522,0.00763425,19.1503,0.00363738,19.4302,0.00400991,True,158412,158412,FIELD_0e.001,4689551271550338816,6.281678344949887,-72.6351842275747,19.4886971,19.8525181,18.8332138,,-0.6104488044037187,0.3114221221154467,1.75313067005096,0.6685340697316557,-1.0433020352955515,0.4746970154788665,2728.203336109842,5228.039436484924,--,--,0.0,Star,2728.0679987021063,5228.104334834113,5,26.422040479813973,1.6273192229841684,80.96644345277912,143.05470213485486,-257.4221365196711
6,4.700537943932396,-72.55962841784469,19.8191,0.00657353,,,,,True,157247,157247,FIELD_0e.001,4689587207535108352,4.700542444783616,-72.55962194678837,19.3716335,19.5715351,18.6794319,,0.4764537213315383,0.3174196739138302,1.0818776363304998,1.003354169979264,-1.3693545956277489,0.5414103831527505,3222.312091988142,8667.755968689336,--,--,0.0,Star,3221.915391755845,8668.161391942771,6,26.20960699261494,1.3387051887478314,98.46422289182686,143.1158467198203,-508.0285087486464
7,4.754968999674296,-72.55514218981945,19.7453,0.00612631,,,,,True,161199,161199,FIELD_0e.001,4689593083050371200,4.754957592074213,-72.55513961622346,19.2990417,19.7231827,18.677269,,0.032443614600657,0.2970019216783487,0.1278175945867719,0.5995671169927741,-1.2994948860862183,0.4480360837724455,3258.175030885724,8550.383082223547,--,--,0.0,Star,3257.945420778591,8550.196116652947,6,27.15724230735587,3.199856049886247,41.13621524777603,142.9154210527578,-703.4216280817575
8,4.888717707618224,-72.61708735259175,19.7076,0.00618979,,,,,True,161591,161591,FIELD_0e.001,4689544841972348800,4.888732674387259,-72.61706990971389,19.2355919,19.60692,18.6345177,,0.0729266795422644,0.2926569555179359,0.5797177706830553,0.6056887873362237,-1.5633744486319554,0.4174857180664447,2816.906249257431,8247.749501830938,--,--,0.0,Star,2816.9034817389384,8247.946384514673,6,27.31102340223112,3.686252792071313,35.70359058865429,142.89641335606686,-821.4429348624241
9,4.872317283335096,-72.58401366432433,20.5706,0.0113996,,,,,True,161754,161754,FIELD_0e.001,4689545872767141888,4.872274818500478,-72.58399528364866,19.918911,20.1781235,19.2011147,,-0.2072620931300336,0.4559000358754848,6.232737940434872,0.9550820031231858,-2.7207092610641497,0.655522846739589,3055.818964693239,8289.747689808752,--,--,0.0,Star,3055.925911774428,8290.078608456255,6,27.378809631622676,3.9235268125987983,33.54265243208077,142.88885195098794,1984.738992413545
10,5.099913454138199,-71.7775265045091,19.0895,0.00230352,18.4903,0.00185192,18.6559,0.00213844,True,139146,139146,FIELD_0e.001,4689828722130664576,5.0998663914822036,-71.77752214448944,18.6899338,18.984827,18.1639137,,0.4245468695745166,0.1881682780606932,4.682533852919466,0.3463138846152552,-2.4632542226942977,0.2764601908993229,8916.154065141469,7927.854368778884,--,--,0.0,Star,8916.18164351219,7927.990896002531,14,24.609157257923428,0.3090236194408245,429.98999599986325,144.26944013005365,2249.1983501393047
11,4.6761332054024765,-71.77485443073608,19.9856,0.00517755,19.1331,0.00525623,,,True,156466,156466,FIELD_0e.001,4689874901619334016,4.676114886773225,-71.77485370452558,19.4274769,19.73155,18.757206,,0.0357904709591474,0.2987464385584177,0.986664254677442,0.5209262159250889,-2.7959598818344755,0.4865349776319375,8910.802522893315,8889.653739941885,--,--,0.0,Star,8911.109790404982,8890.080166919002,14,26.099339261044538,1.209732684247388,108.98972337340794,143.15261465587236,-514.7445678761665
12,4.622180363982666,-71.81310960852764,19.7011,0.00423271,18.972,0.00467393,,,True,153631,153631,FIELD_0e.001,4689874523661901312,4.622184617547235,-71.81310678616141,19.2376175,19.5956917,18.5871181,,0.0066323108800694,0.2438165892665429,0.5668733760787997,0.432277558667766,-1.048033622606868,0.3973966614118809,8629.810873520659,9003.516007373168,--,--,0.0,Star,8630.16393604763,9003.93405186158,14,25.73912073603835,0.8690722986337275,151.87033827928215,143.30230876618336,-664.3843895690204
13,4.731417037653965,-71.81460983143319,19.748,0.00442905,18.8451,0.00236221,,,True,147446,147446,FIELD_0e.001,4689827656978764800,4.73136949509127,-71.81460413272836,19.1650925,19.605135,18.486948,,0.1520307562144065,0.2389472414873405,5.457198745375464,0.4279911040679903,-2.4671396848384415,0.394784932801727,8626.171933776717,8756.021882097382,--,--,0.0,Star,8626.147250073096,8756.030979195839,14,25.17574658642111,0.5185561368487983,255.16589101513088,143.66226801235737,-300.85332448429386
14,4.8465403681264,-71.6622176344993,20.2719,0.00646273,,,,,True,160039,160039,FIELD_0e.001,4689879574545253504,4.846551859134171,-71.662214722426,19.8071,20.2187786,19.09438,,-0.2383863340447819,0.4025816377132339,-0.5404297296387758,0.7890995247399895,-2.168516144826714,0.7313478884462907,9738.366934039605,8524.918066037844,--,--,0.0,Star,9738.175702052804,8525.266728243781,16,26.78460601055643,2.2711976237682943,57.98008537287403,142.97433841361934,-584.4537984201047
15,4.952896292930772,-71.71670857421664,19.9419,0.00499368,19.1218,0.00288609,,,True,149669,149669,FIELD_0e.001,4689875485734899712,4.952850291706384,-71.71670114443656,19.41949,19.8317089,18.742281,,-0.1502041391215592,0.3227011264381487,5.118731002522852,0.5886153177763026,-2.9355602994783703,0.5008442077587419,9349.415785068022,8272.412219175247,--,--,0.0,Star,9349.286867440054,8272.213771519415,16,25.355154295720656,0.6111524725414395,216.3015026156908,143.5269412412003,-335.6096844446425
16,5.039606283817255,-71.71333495284904,19.8489,0.00463631,18.5881,0.00174233,,,True,147001,147001,FIELD_0e.001,4689876791404656384,5.039232977443118,-71.71330192405877,19.03053,19.6428413,18.2293568,,0.6333406982767636,0.2362413090539565,44.39875994946248,0.4408503996255885,-12.593663270645475,0.3661592057151545,9378.766321210454,8076.4047301429,--,--,0.0,Star,9378.964564302663,8076.047826082998,16,25.141277632777843,0.5024522292908846,263.3966224076128,143.6909112708486,-243.74904490341217
17,4.781317844708432,-71.74987359639303,19.3294,0.00329071,18.6652,0.00210206,,,True,144873,144873,FIELD_0e.001,4689875313935901056,4.781281883087715,-71.74986392529054,18.9015827,19.235487,18.3360271,,0.469653306510489,0.2030954094702823,5.661365772248033,0.3706651161622985,-3.5365317850345503,0.3326202807538623,9098.772567373737,8656.135737022938,--,--,0.0,Star,9099.118154781205,8656.07511256728,14,24.98246457328832,0.4345156752330164,304.88455584028065,143.83520401932049,-469.09142511852747
18,4.670027917109422,-71.70600857957072,19.6912,0.00590965,19.0366,0.00497381,,,True,148791,148791,FIELD_0e.001,4689879024787951488,4.670024662426148,-71.70600659523045,19.2336979,19.6163769,18.5933914,,-0.2909148301218793,0.261282068040417,0.5063247373049964,0.4941509210117482,-1.3450249493342232,0.4237025772959345,9409.610166609493,8918.329114078337,--,--,0.0,Star,9410.027676927106,8918.200836461889,16,25.28394241320103,0.5725577855557912,230.9639984463136,143.5780114010693,-349.7843924568245
